screen_name,Label,followers_count,friends_count
moviluptech,moviluptech,180.0,331.0
mrymschfr,mrymschfr,92.0,209.0
mukulvashisht,mukulvashisht,28.0,63.0
mx_changkyunn,mx_changkyunn,452.0,389.0
nighttides,nighttides,4118.0,2512.0
northman458,northman458,223.0,197.0
ofDeviancy,ofDeviancy,37.0,28.0
out_woods,out_woods,1530.0,179.0
oyami06,oyami06,132.0,521.0
paintingpaws29,paintingpaws29,751.0,605.0
paparcura,paparcura,76395.0,61180.0
patrickdehahn,patrickdehahn,3127.0,1177.0
pauladeltrejo,pauladeltrejo,0.0,49.0
petewood8one,petewood8one,51.0,148.0
philosophrob,philosophrob,2994.0,534.0
playyMinecraft,playyMinecraft,7.0,103.0
pocodott1,pocodott1,202.0,234.0
politique__FR,politique__FR,4731.0,4912.0
postcoupturkey,postcoupturkey,803.0,114.0
purrpxblack,purrpxblack,7.0,10.0
quirkstine,quirkstine,254.0,184.0
rapplerdotcom,rapplerdotcom,2548073.0,397.0
rattlecans,rattlecans,3903.0,2710.0
rayfromars,rayfromars,1066.0,776.0
rayguy3,rayguy3,623.0,447.0
rayyoosheh,rayyoosheh,5500.0,1704.0
repentless6371,repentless6371,87.0,134.0
riazchanna98,riazchanna98,40.0,121.0
ryy__ryy,ryy__ryy,448.0,331.0
s_tardvst,s_tardvst,91.0,112.0
saranstm,saranstm,3579.0,3019.0
sarashina_lol,sarashina_lol,1379.0,873.0
scuddertravel,scuddertravel,772.0,761.0
simplydjh,simplydjh,7180.0,307.0
sldiasporaagenc,sldiasporaagenc,80.0,177.0
the_etheropian,the_etheropian,1145.0,821.0
thi_loup,thi_loup,2743.0,3341.0
tma2014raj,tma2014raj,5.0,17.0
tneshraaj,tneshraaj,402.0,297.0
tomwoods55,tomwoods55,12700.0,12133.0
tonyf_efc,tonyf_efc,5537.0,5121.0
ufroese,ufroese,78.0,0.0
uppittynegress,uppittynegress,1540.0,678.0
whales1212,whales1212,428.0,582.0
whattheshot,whattheshot,2167.0,833.0
xWinterVein,xWinterVein,134.0,1422.0
xvalkkyrie,xvalkkyrie,116.0,80.0
xxjanplayz,xxjanplayz,14.0,13.0
yixingtheist,yixingtheist,2860.0,293.0
zagbah,zagbah,2390.0,2514.0
neelesh403,neelesh403,,
sardesairajdeep,sardesairajdeep,,
NerbieDansers,NerbieDansers,1174.0,2004.0
Nero_Scath,Nero_Scath,,
moritz_pika,moritz_pika,,
mcnmotion,mcnmotion,,
AJEnglish,AJEnglish,3836901.0,223.0
CBCNews,CBCNews,,
CBSNews,CBSNews,,
CNNgreece,CNNgreece,,
CWS_global,CWS_global,11231.0,6799.0
CanLWR,CanLWR,1195.0,655.0
CanadainItaly,CanadainItaly,,
EU_Commission,EU_Commission,729826.0,1102.0
ICRC,ICRC,1622002.0,500.0
IOMGREECE,IOMGREECE,,
IOMatUN,IOMatUN,17197.0,2159.0
KristinDavis,KristinDavis,,
PaulDewar,PaulDewar,21328.0,221.0
RCUSA_DC,RCUSA_DC,,
RResettlement,RResettlement,,
RT_com,RT_com,2594609.0,599.0
RefugeeAssist,RefugeeAssist,,
RefugeeRRights,RefugeeRRights,8452.0,4321.0
RefugeeWatcher,RefugeeWatcher,10011.0,252.0
Refugees,Refugees,2133769.0,37476.0
RefugeesChief,RefugeesChief,20035.0,277.0
Reuters,Reuters,17316185.0,1050.0
